source_table,tag_name,from_dt_col,to_dt_col,additional_attrs,notes
mdcd_pendg_hlthy_adlt_oprtnty_pgm_dtl,Healthy Adult Opportunity,hlthy_adlt_oprtnty_from_dt,hlthy_adlt_oprtnty_to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_hlthy_adlt_oprtnty_pgm_dtl); same demo-type tag
mdcd_pendg_hlthy_bhvr_incntv_pgm_dtl,Healthy Behavior Incentives,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_hlthy_bhvr_incntv_pgm_dtl); same demo-type tag
mdcd_pendg_hyde_pgm_dtl,Reproductive Health: Hyde,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_hyde_pgm_dtl); same demo-type tag
mdcd_pendg_intgrtd_care_pgm_dtl,CMMI - Integrated Care for Kids (IncK),from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_intgrtd_care_pgm_dtl); same demo-type tag
mdcd_pendg_lead_expo_pgm_dtl,Lead Exposure,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_lead_expo_pgm_dtl); same demo-type tag
mdcd_pendg_lftm_lmts_pgm_dtl,Lifetime Limits,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_lftm_lmts_pgm_dtl); same demo-type tag
mdcd_pendg_matrnl_hlth_pgm_dtl,Reproductive Health: Maternal Health,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_matrnl_hlth_pgm_dtl); same demo-type tag
mdcd_pendg_matrnl_opioid_use_pgm_dtl,CMMI - Maternal Opioid Misuse (MOM),from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_matrnl_opioid_use_pgm_dtl); same demo-type tag
mdcd_pendg_mktplc_cvrg_pgm_dtl,Marketplace Coverage/Premium Assistance Wrap,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_mktplc_cvrg_pgm_dtl); same demo-type tag
mdcd_pendg_new_adlt_grp_expnsn_pgm_dtl,New Adult Group Expansion,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_new_adlt_grp_expnsn_pgm_dtl); same demo-type tag
mdcd_pendg_non_elgblty_prd_pgm_dtl,Non-Eligibility Period,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_non_elgblty_prd_pgm_dtl); same demo-type tag
mdcd_pendg_non_emer_mdcl_trnsprtn_pgm_dtl,Non-Emergency Medical Transportation (NEMT),from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_non_emer_mdcl_trnsprtn_pgm_dtl); same demo-type tag
mdcd_pendg_othr_pgm_dtl,,from_dt,to_dt,,"Derived counterpart of mdcd_othr_pgm_dtl; free-text per-row, handled by 21_app_associative/13 (exact name match else held), blank so loader 12 skips it"
mdcd_pendg_phrmcy_pgm_dtl,Pharmacy,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_phrmcy_pgm_dtl); same demo-type tag
mdcd_pendg_prm_pgm_dtl,Premiums/Cost-Sharing,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_prm_pgm_dtl); same demo-type tag
mdcd_pendg_prtl_expnsn_pgm_dtl,Partial Expansion of the New Adult Group,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_prtl_expnsn_pgm_dtl); same demo-type tag
mdcd_pendg_prvdr_cap_pgm_dtl,Provider Cap,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_prvdr_cap_pgm_dtl); same demo-type tag
mdcd_pendg_prvdr_rstctn_pgm_dtl,Provider Restriction,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_prvdr_rstctn_pgm_dtl); same demo-type tag
mdcd_pendg_pstprtm_extnsn_pgm_dtl,Reproductive Health: Post-Partum Extension,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_pstprtm_extnsn_pgm_dtl); same demo-type tag
mdcd_pendg_reentry_pgm_dtl,ReEntry,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_reentry_pgm_dtl); same demo-type tag
mdcd_pendg_risk_mtgtn_pgm_dtl,PHE-Risk Mitigation,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_risk_mtgtn_pgm_dtl); same demo-type tag
mdcd_pendg_rsnbl_oprtnty_prd_pgm_dtl,PHE-Reasonable Opportunity Period (ROP),from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_rsnbl_oprtnty_prd_pgm_dtl); same demo-type tag
mdcd_pendg_rsrcs_abrtn_dlvry_pgm_dtl,Reproductive Health: RAD,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_rsrcs_abrtn_dlvry_pgm_dtl); same demo-type tag
mdcd_pendg_rtro_elgblty_pgm_dtl,Retroactive Eligibility,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_rtro_elgblty_pgm_dtl); same demo-type tag
mdcd_pendg_spcl_nds_pgm_dtl,Special Needs,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_spcl_nds_pgm_dtl); same demo-type tag
mdcd_pendg_trbl_pgm_dtl,Tribal,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_trbl_pgm_dtl); same demo-type tag
mdcd_pendg_trgtd_expnsn_pgm_dtl,Targeted Population Expansion,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_trgtd_expnsn_pgm_dtl); same demo-type tag
mdcd_pendg_uncompd_care_pgm_dtl,Uncompensated Care,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_uncompd_care_pgm_dtl); same demo-type tag
mdcd_pendg_val_bsd_care_pgm_dtl,Value Based Care (VBC),from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_val_bsd_care_pgm_dtl); same demo-type tag
mdcd_pendg_vccn_cvrg_pgm_dtl,PHE-Vaccine Coverage,from_dt,to_dt,,Derived from pgm_dtl_tag_mapping.csv (pending-track counterpart of mdcd_vccn_cvrg_pgm_dtl); same demo-type tag
